b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Gibraltar,,GIBRALTAR,36.13,-5.35,95000000,0,95000000.0,0.0,95000000,0,0.0,0,0,0.0,0.0,0,0,0.0,48,ES
Greece,,ATHENS,37.98,23.73,178240000000,2414766752,235537702874.29297,16268434788.670898,237040000000,36398857752,8857759639.354902,39234414952,2268816024,51845529904.45527,7335601501.993305,52957192064,13338446736,1938801075.4593492,49,GR
Hungary,,BUDAPEST,47.5,19.08,1932000000,15880368,7530545538.497056,565867319.2695371,11732000000,3186476688,4850231919.581035,803213352,9563232,3511335181.5223365,164416156.88514373,5465998016,941249352,2184781962.5223026,50,HU
Iceland,,REYKJAVIK,64.15,-21.95,15500000000,316674096,20510839201.20051,1410718069.345954,25300000000,3991700632,3875894400.009342,3049464864,312572776,4482314958.741314,931205352.1228212,4875600000,1829039328,313814800.9985201,51,IS
Ireland,,CORK,51.9,-8.5,950000000,1231472,950000000.0,42030225.442456424,950000000,555832104,0.0,0,952600,639910995.2829274,10339034.36407711,720000000,123898032,113486896.90319881,52,IE
Ireland,,DUBLIN,53.33,-6.25,204432000000,4419670752,208075356804.80203,19695665572.911,214232000000,39991070872,2672392252.107572,41490499792,3771930536,48545442615.524414,12023925787.66432,50224800000,25470889768,1528105111.2577565,53,IE
Italy,,FOLIGNO,42.95,12.7,95000000,0,95000000.0,5540537.155257993,95000000,30645408,0.0,0,0,158769511.3692716,17975589.471545655,159600000,138700688,11260776.98787861,54,IT-CNO
Italy,,MILANO,45.47,9.2,1112380000000,19860065656,1191397753665.0122,137327656967.63615,1197680000000,263808089440,15160225874.533064,256422891248,15858031632,319561378955.02435,70701923861.3441,327054683504,134392814976,8917516201.328241,55,IT-NO
Italy,,PADOVA,45.42,11.88,0,0,9297725960.983494,75767103.44222556,9800000000,233188496,2161144490.608051,0,0,2217495988.473277,77001681.38704836,2640000000,342963920,583111903.6232717,56,IT-NO
Italy,,PALERMO,38.12,13.37,374000000000,11054823992,374000000000.0,55863736766.936165,374000000000,68516175008,0.0,59560907184,9110853664,66910519052.12144,26624832203.747433,68475584344,33314991856,1243643205.7912083,57,IT-SIC
Italy,,ROME,41.9,12.48,23100000000,83781400,29735922890.453655,1075543260.768787,31700000000,5254877712,3514705735.462223,4988102648,423421872,11123101351.72019,1229929969.868175,11428800768,4811134112,1004176157.5844134,58,IT-CSO
Italy,,TREVIGLIO,45.52,9.58,950000000,1503032,950000000.0,12028159.4837816,950000000,77144632,0.0,592011816,2211208,957214927.2963177,9100234.168301973,961200000,331825984,34761527.67013494,59,IT-NO
Italy,,TURIN,45.05,7.67,156800000000,0,156800000000.0,2012882567.960291,156800000000,10176731560,0.0,0,0,17573585783.570587,1444200028.5951748,17736000000,4816026008,751073863.4016521,60,IT-NO
Latvia,,RIGA,56.95,24.1,9740000000,139406232,9740000000.0,1737462774.206626,9740000000,5419850120,0.0,1812792712,57857864,3787271801.2392936,490533432.43218285,4080000000,1372470144,220213113.07235995,61,LV
Lithuania,,VILNIUS,54.68,25.32,950000000,5286792,4732454115.202586,25477335.020200856,4750000000,357586368,257631841.8906956,0,28340664,4301983444.10112,50250595.45284543,4416000000,344256960,325530250.76129395,62,LT
Luxembourg,,STEINSEL,49.68,6.12,3800000000,31881968,3800000000.0,1251393188.2673438,3800000000,2672142336,0.0,0,35041736,952617725.1437147,349056501.2222094,960000000,696044720,55920949.17475704,63,LU
Malta,,PIETA,35.89,14.49,950000000,0,950000000.0,69508224.33152488,950000000,250367704,0.0,0,0,477229575.9399746,27260442.727923352,480000000,142592688,27823381.354820196,64,MT
Malta,,VALETTA,35.9,14.51,9800000000,31071240,9800000000.0,490759586.71684176,9800000000,1188424360,0.0,0,18327504,2551507756.4114046,165142942.25464618,2563200000,517658304,69514906.13946028,65,MT
Monaco,,MONACO,43.73,7.42,950000000,3381000,950000000.0,110385932.18515526,950000000,271322624,0.0,384000000,5859440,572203569.3482627,43799284.32182846,576000000,143802248,26281636.199892417,66,FR
Netherlands,,AMSTERDAM,52.35,4.92,2395564000000,38656203896,2689277048135.7495,199751403248.31213,2777764000000,426271240888,65360560167.71424,520321735680,23396498224,627125165702.3645,88197589998.17615,657646175928,163459387800,22156768141.707073,67,NL
Netherlands,,OUDEMEER,52.28,4.77,9800000000,37732640,9800000000.0,2794536468.8611336,9800000000,6404738928,0.0,638400000,308757192,1418710379.7769825,1026353113.0379776,1436400000,1366700432,80607240.04794088,68,NL
Netherlands,,SCHIPHOL,52.3,4.75,583000000000,5076816496,792713494170.6106,49834630973.13171,947600000000,142877467832,67473346501.93529,141503104112,4756871800,192381729344.23273,24308921760.210552,201720050416,61938057456,7726560922.96427,69,NL
Netherlands,,ZWOLLE,52.5,6.08,900000000,6308624,900000000.0,255707798.1863096,900000000,963341400,0.0,110257736,37880872,352930605.86309594,179142465.13678864,360000000,428889168,26453277.258042,70,NL
Norway,,ALESUND,62.47,6.15,1900000000,0,1900000000.0,14574418.377005655,1900000000,211943232,0.0,0,0,186976864.00092345,20155239.501327485,319200000,194841880,154054145.4177793,71,NO-NO3
Norway,,BERGEN,60.39,5.32,3800000000,139539272,3800000000.0,1377424921.2651505,3800000000,3016848736,0.0,384000000,61864408,759121114.6401939,310177516.5859402,768000000,716471472,47457047.425561816,72,NO-NO5
Norway,,HOLMESTRAND,59.49,10.3,950000000,1952488,950000000.0,15106130.985570818,950000000,139699376,0.0,1300288,19961816,422655995.40020776,44949257.364885144,478800000,145132552,78079405.96078594,73,NO-NO2
Norway,,JESSHEIM,60.15,11.18,1900000000,0,1900000000.0,3284477.1123167495,1900000000,74073608,0.0,0,0,477793731.0520605,2300231.5530416714,480000000,72053968,24483556.973693125,74,NO-NO1
Norway,,LILLEHAMMER,61.13,10.5,950000000,0,950000000.0,0.0,950000000,0,0.0,0,0,0.0,0.0,0,0,0.0,75,NO-NO1
Norway,,OSLO,59.92,10.75,141000000000,3327739152,158767378506.29114,25552126194.485973,160600000000,54905782664,5176788027.701616,23402713848,1396416576,37024395321.14695,7397823240.768325,45767683176,14201124512,4256710681.949561,76,NO-NO1
Norway,,SARPSBORG,59.28,11.12,950000000,10546328,950000000.0,181500654.82534918,950000000,964896272,0.0,480000000,6028920,715643303.2205933,48311056.20131594,720000000,259102800,31560787.763541423,77,NO-NO1
