b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Sweden,,SKARHOLMEN,59.28,17.88,353800000000,988767232,388999907653.2379,13145463392.181,393000000000,31562998640,11866723913.93525,34319643224,1483818712,45580573361.10724,5402982070.042249,47460230016,11337428056,1623577703.965725,106,SE-SE3
Sweden,,SKONDAL,59.25,18.12,0,0,137573311785.75552,17841428288.649197,274800000000,58066582800,52490660525.04649,0,0,24845932328.450653,8145497873.503406,39942000992,22060620680,13442938825.07357,107,SE-SE3
Sweden,,STOCKHOLM,59.33,18.05,509740000000,11839767544,601837056446.9584,85618093661.32195,921340000000,226025160160,42942884529.00644,139051362104,7631017720,179436890285.5879,32896923476.150986,192166134792,75196139456,10289385866.690527,108,SE-SE3
Switzerland,,BASEL,47.57,7.6,950000000,4582608,950000000.0,101612488.42017777,950000000,355655888,0.0,2057992,22321624,476224838.3432991,87748377.44799723,478800000,259726904,25451151.682717927,109,CH
Switzerland,,BERN,46.92,7.47,58800000000,476373096,58800000000.0,3312990605.0642962,58800000000,12307344456,0.0,7872000000,169101512,9493897636.68198,905255526.062565,9552000000,2740719520,206358029.19782248,110,CH
Switzerland,,BIEL,47.17,7.25,950000000,0,950000000.0,252863362.0076186,950000000,909164984,0.0,0,0,334481072.24564236,153483679.10238948,478800000,396898680,213742450.18768185,111,CH
Switzerland,,GENEVA,46.2,6.17,950000000,9088128,1062807341.5675863,110998075.08807573,1200000000,454064008,124411115.9577335,309786480,58317088,582202296.2474893,122993109.07999538,718800000,308912744,123051531.55314136,112,FR
Switzerland,,GLATTBRUGG,47.42,8.58,25500000000,785309064,62059667551.65647,2894818422.818885,123500000000,8362131448,33402828720.06885,4032000000,1430231656,15301635972.909153,2823019224.2558007,33533597056,6319095584,5974889760.277811,113,CH
Switzerland,,LAUSANNE,46.53,6.67,73800000000,317029840,73800000000.0,4327021121.151565,73800000000,19609988840,0.0,9120000000,268025272,10944384343.522568,1720730812.921159,11520000000,5643456704,451563267.36192244,114,CH
Switzerland,,LOCARNO,46.17,8.8,1900000000,0,1900000000.0,53058165.00981184,1900000000,232709280,0.0,0,0,477773489.6446958,15865305.972526839,480000000,190354080,24686940.36923854,115,CH
