b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,region
Canada,BC,VANCOUVER,49.25,-123.13,136900000000,4245042464,168583989380.12234,19592143326.84105,185900000000,37711576032,15902481074.737375,38758915408,3598259240,54017807696.12374,10786733079.052523,64061314872,19257578800,6696302176.06143,CA-BC
Canada,BC,VICTORIA,48.43,-123.35,1900000000,0,1900000000.0,91635644.46311902,1900000000,841307104,0.0,0,0,713104673.3538035,25862826.470275886,720000000,185127336,58008207.69132694,CA-BC
Canada,MB,BRANDON,49.83,-99.95,80000000,0,80000000.0,53412012.70414406,80000000,210800008,0.0,0,0,237926405.91111624,63641126.9961907,240000000,124792296,16810284.44191591,CA-MB
Canada,MB,WINNIPEG,49.88,-97.17,11700000000,297503624,16211290546.00023,2012300460.417869,21500000000,4517762304,4802159292.320195,735600000,466921888,5417177995.705875,2110587577.2162068,6069600768,3347607008,897143507.0597221,CA-MB
Canada,NB,SAINTJOHN,45.27,-66.07,9800000000,72911168,9800000000.0,482304965.7116472,9800000000,1369720656,0.0,478800000,118808744,791698278.5021355,450299324.54807806,798000000,789499192,34968336.40477179,CA-NB
Canada,NF,GOOSEBAY,53.33,-60.42,0,0,902516449.2669976,8202908.9664088655,950000000,97257488,207025682.08209917,0,0,1076558067.0160453,6762927.049751818,1200000000,157415504,357296559.17802745,CA-NL-LB
Canada,NF,SAINTJOHNS,47.55,-52.67,9800000000,79151528,9800000000.0,620183004.3624611,9800000000,1551653304,0.0,1596000000,180716976,1905072430.886298,636189876.8980722,1915200000,1268479736,49354880.76204245,CA-NL-NF
Canada,NS,HALIFAX,44.65,-63.6,40150000000,565474192,40150000000.0,3554440550.3802376,40150000000,7715444824,0.0,3751600000,740822624,6269681339.908115,2619552092.4483438,6309999872,4222319080,185732688.7450412,CA-NS
Canada,NT,YELLOWKNIFE,62.45,-114.35,950000000,7214280,950000000.0,74869107.56550848,950000000,269133224,0.0,271025368,31893784,476001040.69075376,76276999.50686829,478800000,213489656,20649082.02170629,CA-NT
Canada,NU,IQALUIT,63.73,-68.5,95000000,0,95000000.0,562673.3556504674,95000000,7948728,0.0,0,0,3827773.5989841856,5361632.63257532,159158280,75822776,16696571.788953574,CA-NU
Canada,ON,BARRIE,44.38,-79.7,9800000000,80217440,9800000000.0,766246096.0156989,9800000000,2213834408,0.0,1680000000,39856248,2283667747.1490245,229265207.0986956,2400000000,567750640,131967043.42206925,CA-ON
Canada,ON,BURLINGTON,43.32,-79.8,19600000000,822928632,19600000000.0,5028884529.725038,19600000000,11856920592,0.0,3630110144,340440240,4215245266.1369042,1349469016.102505,4416000000,2982341456,124125745.07748494,CA-ON
Canada,ON,ETOBICOKE,43.7,-79.57,19600000000,81087576,59630335911.34711,3732103498.59125,98000000000,14979373560,6861155149.062569,2368675656,126857384,7553552947.749278,1730257197.4964793,11373121224,6346111336,673124539.8055482,CA-ON
Canada,ON,HAMILTON,43.25,-79.83,0,1150976,925435761.28362,126787927.82731156,950000000,402940696,150782125.48301604,0,1130280,466295057.34456885,35419338.84150987,480000000,183549872,77878693.25923188,CA-ON
Canada,ON,KINGSTON,44.3,-76.57,1045000000,2274904,1045000000.0,38619055.348031856,1045000000,217185808,0.0,159600000,15614176,428593839.81253606,78462435.3623456,519600000,221114784,88773266.73951839,CA-ON
Canada,ON,KITCHENER,43.45,-80.5,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,CA-ON
