b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Malaysia,,CYBERJAYA,2.97,101.58,147495000000,5921109840,161393303128.24655,21294474131.514717,174895000000,50390735832,7691572759.168403,33232237320,4018965816,73761900853.0449,12113601347.056679,82054546160,25812212536,4722811918.606416,98,MY-WM
Malaysia,,KEPONG,3.22,101.63,0,0,15558730232.02124,2221454549.726423,15680000000,3914817016,1179110275.9195433,0,0,6912781658.328985,1333839959.255685,7200000000,2215430592,606863779.6835574,99,MY-WM
Malaysia,,KUALALUMPUR,3.17,101.7,9500000000,89659256,15948620570.241257,1128226513.4757013,29100000000,4202327008,5937102996.396411,2400000000,210180488,8931010769.440609,698722749.6174536,9120000000,1682220680,593987981.5782461,100,MY-WM
Malaysia,,KUCHING,1.55,110.33,1900000000,3008152,1900000000.0,327987621.12062794,1900000000,656326248,0.0,0,31183344,2260091685.0088882,392392173.5980607,2304000000,729625224,247932289.8950503,101,MY-EM
Malaysia,,PETALING,3.08,101.67,15200000000,59530128,15200000000.0,1187771580.5028281,15200000000,2585690872,0.0,0,124173496,6916660607.684175,652878258.7704029,6967199744,1224382120,313641157.3562716,102,MY-WM
Malaysia,,PETALINGJAYA,3.08,101.65,11400000000,25794288,11400000000.0,499384428.3116703,11400000000,2802994400,0.0,0,244649040,9376323816.731386,555980513.0287429,9600000000,2042823624,782870297.9915524,103,MY-WM
Malaysia,,SELANGOR,3.35,101.25,245750000000,10716594968,292050023086.69055,46034672364.54346,294950000000,62733537608,6485959294.856278,43991270064,5916152264,81702363659.3882,21318666373.58698,86761313768,31329516848,5462304724.429434,104,MY-WM
Malaysia,,SHAHALAM,3.08,101.53,950000000,1751088,950000000.0,330533700.88052636,950000000,665226792,0.0,568196128,3710296,1028692214.4910539,260178257.75828236,1200000000,538186696,113750270.17348363,105,MY-WM
Mongolia,,ULAANBAATAR,47.92,106.92,19600000000,0,19600000000.0,178552630.9241602,19600000000,725197104,0.0,0,0,5098414560.771095,117278303.32771558,7621199360,554620464,3421610266.850112,106,MN
Nepal,,KATHMANDU,27.72,85.32,1900000000,27694784,2835414983.2621493,343841989.2508369,2850000000,902729632,116810180.34874766,478800000,81240688,1279502077.1880412,318241139.4999423,1341600000,611038992,111018129.56618278,107,NP
Nepal,,LALITPUR,27.67,85.33,0,0,1896710146.6004848,507202390.3830082,1900000000,1477630176,78997586.67105924,0,0,692196372.5960983,131279453.18804109,720000000,501282048,104717269.80845371,108,NP
